,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
98,A Spool of Blue Thread,Anne Tyler,3.41,358,Knopf,1101874279,comments,0,3990,2015-02-10
99,The Perfect Son,Barbara Claypole White,3.97,396,Lake Union Publishing,1477830049,Fiction,0,832,2015-07-01
100,Signs Preceding the End of the World,Yuri Herrera,3.92,114,And Other Stories(first published 2009),1908276428,Fiction,0,289,2015-03-10
101,Purity,Jonathan Franzen,3.61,563,"Farrar, Straus and Giroux",0374239215,Fiction,0,5607,2015-09-01
102,The Girl on the Train,Paula Hawkins,3.91,336,Riverhead Books,1594633665,comments,0,22987,2015-01-13
103,The Girl on the Train,Paula Hawkins,3.91,336,Riverhead Books,1594633665,comments,0,22987,2015-01-13
104,The Girl on the Train,Paula Hawkins,3.91,336,Riverhead Books,1594633665,comments,0,22987,2015-01-13
105,Finders Keepers,Stephen King,4.04,434,Scribner,1501100076,Fiction,1,673353,2015-06-02
106,Career of Evil,Robert Galbraith,4.21,497,Mulholland Books,0316349933,Mystery,0,21331,2015-10-20
107,Obsession in Death,J.D. Robb,4.35,404,Berkley(first published January 12th 2015),0399170871,Mystery,1,16319,2015-02-10
108,Pretty Girls,Karin Slaughter,3.99,396,William Morrow(first published July 2nd 2015),0062429051,Thriller,0,24618,2015-09-29
109,Marrow,Tarryn Fisher,3.99,278,,English,Thriller,0,16176,2015-04-16
110,The Nature of the Beast,Louise Penny,4.22,376,Minotaur Books,1250022088,Mystery,1,10887,2015-08-25
111,The English Spy,Daniel Silva,4.18,484,Harper,0062320130,Thriller,1,5504,2015-06-30
112,Die Again,Tess Gerritsen,4.18,330,Ballantine Books,0345543858,Mystery,1,13449,2014-12-30
113,The Stranger,Harlan Coben,3.87,386,Dutton,0525953507,Add,0,17541,2015-03-24
114,Mr. Kiss and Tell,Rob Thomas,4.0,330,Vintage Books,080417072X,Mystery,1,1077,2015-01-20
115,Memory Man,David Baldacci,4.07,416,Grand Central Publishing,1455559822,Mystery,1,108252,2015-04-21
116,Lamentation,C.J. Sansom,4.4,656,Mulholland Books(first published October 23rd 2014),0316254967,Historical,1,2700,2015-02-24
117,The Girl in the Spider's Web,David Lagercrantz,3.76,400,Knopf(first published August 27th 2015),0385354282,comment,1,1973,2015-09-01
118,The Escape,David Baldacci,4.16,470,Grand Central Publishing(first published September 16th 2014),1455521191,Thriller,1,108252,2014-11-18
119,The Kind Worth Killing,Peter  Swanson,4.03,311,William Morrow,0062267523,Thriller,0,3608,2015-02-03
120,Gathering Prey,John Sandford,4.2,407,G.P. Putnam's Sons,0399168796,Mystery,1,6067,2015-04-28
121,The Cartel,Don Winslow,4.32,616,Knopf(first published May 22nd 2015),1101874996,Fiction,1,3185,2015-06-23
122,As Chimney Sweepers Come to Dust,Alan Bradley,3.95,392,Delacorte Press,0345539931,Mystery,1,6978,2015-01-06
123,Luckiest Girl Alive,Jessica Knoll,3.49,352,Simon  Schuster,1476789630,comments,0,2297,2015-05-12
124,The Nightingale,Kristin Hannah,4.57,440,St. Martin's Press,0312577222,Historical,0,115995,2015-02-03
125,The Nightingale,Kristin Hannah,4.57,440,St. Martin's Press,0312577222,Historical,0,115995,2015-02-03
126,The Nightingale,Kristin Hannah,4.57,440,St. Martin's Press,0312577222,Historical,0,115995,2015-02-03
127,A God in Ruins,Kate Atkinson,3.94,468,"Little, Brown and Company(first published May 1st 2015)",0316176532,Fiction,1,7514,2015-05-05
128,At the Water's Edge,Sara Gruen,3.66,348,Spiegel & Grau,0385523238,Add,0,5340,2015-03-31
129,Rebel Queen,Michelle Moran,4.04,355,Atria Books,1476716358,Historical,0,4250,2015-03-03
130,In the Unlikely Event,Judy Blume,3.52,402,Knopf,1101875046,Fiction,0,8049,2015-06-02
131,The Boston Girl,Anita Diamant,3.81,320,Scribner,1439199353,Add,0,3120,2014-12-09
132,Secrets of a Charmed Life,Susan Meissner,4.19,386,NAL,0451419928,Historical,0,3251,2015-02-03
133,The Marriage of Opposites,Alice Hoffman,3.88,371,Simon  Schuster(first published August 1st 2015),1451693591,Historical,0,11547,2015-08-04
134,Circling the Sun,Paula McLain,3.93,366,Ballantine Books(first published July 7th 2015),0345534182,Historical,0,3300,2015-07-28
135,A Desperate Fortune,Susanna Kearsley,4.0,528,Sourcebooks Landmark,1492602027,Historical,0,6387,2015-04-07
136,The Architect's Apprentice,Elif Shafak,3.98,432,Viking(first published December 13th 2013),052542797X,Historical,0,15130,2015-03-31
137,The Taming of the Queen,Philippa Gregory,3.93,450,Touchstone(first published August 2015),1476758794,comments,1,25878,2015-08-25
138,The Lake House,Kate Morton,4.05,492,Atria Books(first published October 2015),1451649320,comments,0,16071,2015-10-20
139,Letters to the Lost,Iona Grey,4.16,384,Thomas Dunne Books(first published April 2015),1250066778,Historical,0,410,2015-05-26
140,The Bookseller,Cynthia Swanson,3.67,339,Harper,0062333003,Fiction,0,635,2015-03-03
141,Epitaph,Mary Doria Russell,4.11,581,Ecco,0062198769,Historical,1,2160,2015-03-03
142,The Gilded Hour,Sara Donati,4.04,741,Berkley,0425271811,Historical,1,2262,2015-09-01
143,Mademoiselle Chanel,C.W. Gortner,4.07,406,William Morrow,0062356402,Historical,0,1702,2015-03-17
144,Girl Waits with Gun,Amy  Stewart,3.76,408,Houghton Mifflin Harcourt,0544409914,Historical,1,1963,2015-09-01
145,Flood of Fire,Amitav Ghosh,4.11,624,"Farrar, Straus and Giroux(first published 2015)",0374174245,Historical,1,2376,2015-08-04
146,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.93,310,William Morrow,0062330268,Fantasy,1,196562,2015-02-03
147,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.93,310,William Morrow,0062330268,Fantasy,1,196562,2015-02-03
148,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.93,310,William Morrow,0062330268,Fantasy,1,196562,2015-02-03
149,A Darker Shade of Magic,V.E. Schwab,4.09,400,Tor Books,0765376458,comments,1,22622,2015-02-24
150,Shadows of Self,Brandon Sanderson,4.3,383,Tor Books,0765378558,Fantasy,1,119647,2015-10-06
151,Magic Shifts,Ilona Andrews,4.46,342,Ace,042527067X,Fantasy,1,22829,2015-08-04
152,The Aeronaut's Windlass,Jim Butcher,4.18,630,Roc,0451466802,Fantasy,1,38455,2015-09-29
153,Fool's Quest,Robin Hobb,4.52,768,Del Rey,0553392921,Fantasy,1,77136,2015-08-11
154,Vision in Silver,Anne Bishop,4.27,400,Roc,045146527X,Fantasy,1,8194,2015-03-03
155,Dead Heat,Patricia Briggs,4.3,324,Ace,0425256758,Fantasy,1,23132,2015-03-03
156,Burned,Karen Marie Moning,4.14,475,Delacorte Press,0385344414,comment,1,25436,2015-01-20
157,The Fifth Season,N.K. Jemisin,4.31,468,Orbit,English,Fantasy,0,20672,2015-08-04
158,The Invasion of the Tearling,Erika Johansen,4.12,515,Harper,0062290398,Fantasy,1,4056,2015-06-09
159,The Liar's Key,Mark  Lawrence,4.26,479,Ace,0425268802,Fantasy,1,44517,2015-06-02
160,The Buried Giant,Kazuo Ishiguro,3.49,317,Knopf,030727103X,comments,0,13248,
161,Yield the Night,Annette Marie,4.37,278,Annette Marie(first published March 18th 2015),B00RH8BZOI,Fantasy,1,3100,2015-03-27
162,The Skull Throne,Peter V. Brett,4.14,681,Del Rey,0345531485,Fantasy,1,9976,2015-03-31
163,The Mime Order,Samantha Shannon,4.19,510,Bloomsbury,1408857391,Fantasy,1,7116,2015-01-27
164,The Autumn Republic,Brian  McClellan,4.37,580,Orbit,0316219126,Fantasy,1,5170,2015-02-10
165,Recurve,Shannon Mayer,3.93,242,"Hijinks Ink Publishing, Ltd.",B00TKK41LA,Fantasy,1,3288,2015-03-31
166,Boundary Crossed,Melissa F. Olson,4.0,302,47North,1477849432,Fantasy,1,1399,2015-05-01
167,The Providence of Fire,Brian Staveley,4.13,608,Tor Books(first published 2015),0765336413,Fantasy,1,3147,2015-01-13
168,Confess,Colleen Hoover,4.23,306,Atria Books,1476791457,Romance,0,327196,2015-03-10
169,Confess,Colleen Hoover,4.23,306,Atria Books,1476791457,Romance,0,327196,2015-03-10
170,Confess,Colleen Hoover,4.23,306,Atria Books,1476791457,Romance,0,327196,2015-03-10
171,Grey,E.L. James,3.78,576,Vintage,1101946342,Romance,1,50428,2015-06-18
172,The Shadows,J.R. Ward,4.31,576,NAL,0451417070,Fantasy,0,41170,2015-03-31
173,The Deal,Elle Kennedy,4.28,342,Elle Kennedy Inc.,English,Romance,0,18454,2015-02-24
174,Captivated by You,Sylvia Day,4.09,356,Berkley,0425273865,Add,1,115036,2014-11-18
175,Wicked,Jennifer L. Armentrout,4.05,375,Jennifer L. Armentrout,0988982951,New,1,53448,2014-12-08
176,Ride Steady,Kristen Ashley,4.44,640,Forever,145553322X,Romance,1,32848,2015-06-30
177,The Secret of Pembrooke Park,Julie Klassen,4.01,464,Bethany House Publishers(first published November 25th 2014),0764212788,comments,0,3304,2014-12-02
178,Beautiful Redemption,Jamie McGuire,4.14,260,Jamie McGuire,1502541858,Romance,1,38116,2015-01-27
179,Never Judge a Lady by Her Cover,Sarah MacLean,3.95,376,Avon,0062068512,Romance,1,7985,2014-11-25
180,The Liar,Nora Roberts,3.98,501,Berkley,0399170863,Romance,0,36130,2015-04-14
181,The Law of Moses,Amy Harmon,4.36,359,Amy Harmon(first published November 18th 2014),B00PKSZ78M,Romance,1,11788,2014-11-27
182,Souls Unfractured,Tillie Cole,4.48,371,Tillie Cole,B013OJYRJI,Romance,1,12439,2015-08-09
183,Deep,Kylie Scott,4.07,272,St. Martin's Griffin(first published March 10th 2015),1250052394,Romance,1,13583,2015-03-31
184,Him,Sarina Bowen,4.33,360,Rennie Road Books(first published July 28th 2015),1942444087,Romance,1,8789,2015-08-02
185,Hero,Samantha Young,4.08,410,Berkley Books,0451475607,comments,1,21065,2015-02-03
186,The Air He Breathes,Brittainy C. Cherry,4.2,308,,English,Romance,0,8726,2015-09-25
187,Hollywood Dirt,Alessandra Torre,4.1,430,Everafter Romance,1940941717,Romance,1,11752,2015-09-07
188,Thoughtful,S.C. Stephens,4.23,560,Forever,English,Romance,0,16619,2015-02-24
189,Consolation,Corinne Michaels,4.36,302,Baae Publishing,1942834055,Romance,1,7782,2015-02-26
190,Golden Son,Pierce Brown,4.45,442,Del Rey,0345539818,Science,1,24063,2015-01-06
191,Golden Son,Pierce Brown,4.45,442,Del Rey,0345539818,Science,1,24063,2015-01-06
192,Golden Son,Pierce Brown,4.45,442,Del Rey,0345539818,Science,1,24063,2015-01-06
193,Seveneves,Neal Stephenson,3.99,867,Harper Collins,0062190377,Add,0,19398,2015-05-19
194,The Heart Goes Last,Margaret Atwood,3.37,320,Nan A. Talese(first published September 24th 2015),0385540353,Fiction,1,55649,2015-09-29
195,Welcome to Night Vale,Joseph Fink,3.84,401,Harper Perennial(first published September 20th 2015),0062351427,Fantasy,1,1427,2015-10-20
196,The Water Knife,Paolo Bacigalupi,3.83,371,Knopf,0385352875,Science,0,3811,2015-05-26
197,Armada,Ernest Cline,3.52,355,Crown Publishing,0804137250,Science,0,20749,2015-07-14
198,Star Wars: Aftermath,Chuck Wendig,3.21,366,Del Rey,034551162X,Media,1,3689,2015-09-04
199,Ancillary Mercy,Ann Leckie,4.21,330,Orbit,0316246689,Science,1,5345,2015-10-06
200,The End of All Things,John Scalzi,3.97,380,Tor Books,0765376075,Science,1,16650,2015-08-11
201,The Fold,Peter Clines,3.85,384,Crown,0553418297,Science,1,3168,2015-06-02
202,Nemesis Games,James S.A. Corey,4.4,544,Orbit(first published June 2nd 2015),0356504220,Science,1,11986,2015-06-04
203,Beacon 23,Hugh Howey,3.91,254,Createspace,1516865871,Science,1,51970,2015-08-12
204,The Dark Forest,Liu Cixin,4.41,512,Tor Books(first published May 2008),English,Science,0,5608,2015-08-11
205,Strands of Sorrow,John Ringo,4.33,352,Baen(first published December 15th 2014),1476736952,Science,1,1508,2015-01-06
206,Warship,Joshua Dalzelle,4.04,320,Createspace Independent Publishing Platform(first published January 3rd 2015),1507587317,Science,1,818,2015-01-16
207,Apex,Ramez Naam,4.17,608,Angry Robot(first published 2015),0857664018,Science,1,1215,2015-05-05
208,BrainWeb,Douglas E. Richards,4.11,360,Paragon Press,English,Science,0,980,2015-02-10
209,Angles of Attack,Marko Kloos,4.11,350,47North,Frontlines #3,Science,0,1885,2015-04-21
210,King of Thieves,Evan Currie,4.06,352,47North,English,Science,0,1436,2015-03-31
211,Aurora,Kim Stanley Robinson,3.74,466,Orbit,0316098108,Science,0,3949,2015-07-07
212,Saint Odd,Dean Koontz,4.15,339,Bantam(first published January 8th 2015),0345545877,Add,1,24947,2015-01-13
213,Saint Odd,Dean Koontz,4.15,339,Bantam(first published January 8th 2015),0345545877,Add,1,24947,2015-01-13
214,Saint Odd,Dean Koontz,4.15,339,Bantam(first published January 8th 2015),0345545877,Add,1,24947,2015-01-13
215,Alice,Christina Henry,3.87,291,Ace,0425266796,Fantasy,1,3504,2015-08-04
216,The Last American Vampire,Seth Grahame-Smith,3.98,399,Grand Central Publishing,145550212X,Horror,1,2426,2015-01-13
217,Slade House,David Mitchell,3.81,238,Random House(first published October 20th 2015),0812998685,Horror,0,10629,2015-10-27
218,Thicker Than Blood,Madeline Sheehan,3.95,366,Createspace,1505972612,Horror,1,6712,2015-01-12
219,The Ice Twins,S.K. Tremayne,3.65,373,Harper Collins,0007563035,Thriller,0,910,2015-01-29
220,The Night Sister,Jennifer  McMahon,3.68,322,Doubleday,0385538510,Horror,0,4242,2015-08-04
221,Follow You Home,Mark  Edwards,3.89,400,Thomas & Mercer,1503944379,Mystery,0,2889,2015-06-30
222,A Head Full of Ghosts,Paul Tremblay,3.8,286,William Morrow,0062363239,Horror,0,3876,2015-06-02
223,Rolling in the Deep,Mira Grant,4.01,123,Subterranean Press,159606708X,Horror,1,4063,2015-04-06
224,Twisted,Andrew E. Kaufman,3.77,336,Thomas & Mercer,1477829482,Horror,0,605,2015-04-07
225,The Scarlet Gospels,Clive Barker,3.47,361,St. Martin's Press(first published May 15th 2015),1250055806,Horror,0,9643,2015-05-19
226,Suicide Forest,Jeremy Bates,3.68,426,Ghillinnein Books(first published December 14th 2014),0993764681,Add,1,975,2015-02-23
227,Abomination,Gary Whitta,3.64,352,Inkshares,1941758339,Fantasy,0,322,2015-07-29
228,The Annihilation Score,Charles Stross,3.9,416,Ace(first published July 2015),0425281175,Fantasy,1,4655,2015-07-07
229,The Border,Robert R. McCammon,3.84,456,Subterranean Press(first published May 1st 2015),B00WRKB1D6,Horror,0,3409,2015-05-25
230,Blood Infernal,James Rollins,4.25,406,William Morrow,English,Thriller,1,9843,2015-02-10
231,Extinction Horizon,Nicholas Sansbury Smith,3.95,351,,B00QJKUF1E,Horror,1,1204,
232,The Deep,Nick Cutter,3.37,394,Gallery Books,1476717737,Horror,0,2350,2015-01-13
233,Day Four,Sarah Lotz,3.3,342,"Little, Brown and Company(first published May 21st 2015)",0316242942,Horror,1,493,2015-06-16
234,Why Not Me?,Mindy Kaling,3.9,228,Crown Archetype,0804138141,Add,0,234609,2015-09-15
235,Why Not Me?,Mindy Kaling,3.9,228,Crown Archetype,0804138141,Add,0,234609,2015-09-15
236,Why Not Me?,Mindy Kaling,3.9,228,Crown Archetype,0804138141,Add,0,234609,2015-09-15
237,You're Never Weird on the Internet (Almost),Felicia Day,4.13,272,Gallery Books,1476785651,comments,0,125887,2015-08-11
238,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,3.92,329,Flatiron Books,1250077001,Nonfiction,0,9925,2015-09-22
239,Binge,Tyler Oakley,4.24,320,Gallery Books,1501117696,Nonfiction,0,1598,2015-10-20
240,"Yes, My Accent Is Real: and Some Other Things I Haven't Told You",Kunal Nayyar,3.75,245,Atria Books,1476761825,Nonfiction,0,74,2015-09-15
241,The Fangirl's Guide to the Galaxy: A Handbook for Girl Geeks,Sam Maggs,3.7,208,Quirk Books,159474789X,Nonfiction,0,597,2015-05-12
242,I Hate Myselfie: A Collection of Essays,Shane Dawson,4.21,228,Atria/Keywords Press,1476791546,comments,0,1325,2015-03-10
243,The Amazing Book is Not on Fire: The World of Dan and Phil,Dan Howell,4.47,224,Random House Books for Young Readers(first published October 8th 2015),1101939842,Nonfiction,0,1696,2015-10-13
244,"Fat Girl Walking: Sex, Food, Love, and Being Comfortable in Your Skin...Every Inch of It",Brittany Gibbons,3.92,240,Dey Street Books(first published January 1st 2015),0062343033,Add,0,278,2015-05-19
245,Selp-Helf,Miranda Sings,4.29,231,Gallery Books,1501117947,Humor,0,463,2015-07-21
