,ISBN,author,author_followers,genre,pages,publish_date,publisher,rating,series,title,NYT_Bestseller,celeb_bookclub
195,0356509311,Brian  McClellan,8.550434525196039,Fantasy,639.0,2018-05-15,Multnomah Books,4.54,1,Wrath of Empire,0,0
196,1524760366,Robert Jackson Bennett,9.669156655581341,Fantasy,505.0,2018-08-21,Multnomah Books,4.27,1,Foundryside,0,0
197,0356509044,Nicholas Eames,7.909856667269403,Fantasy,544.0,2018-08-30,Multnomah Books,4.26,1,Bloody Rose,0,0
201,1501171593,Colleen Hoover,12.6982810391391,Romance,308.0,2018-07-17,Riverhead Books,4.29,0,All Your Perfects,0,0
202,0399587667,Jasmine Guillory,8.193953023563742,Romance,314.0,2018-01-30,Riverhead Books,3.54,1,The Wedding Date,0,0
203,0451475216,J.R. Ward,10.62539224351527,Fantasy,454.0,2018-04-10,Riverhead Books,4.27,0,The Thief,0,0
204,0385543913,E.L. James,10.828282024901505,Romance,546.0,2017-11-28,Riverhead Books,4.1,1,Darker,1,0
205,198666581X,Laura Thalassa,8.80071662871916,Romance,381.0,2018-09-14,Riverhead Books,4.04,1,Pestilence,0,0
206,099042927X,Mariana Zapata,9.596758567164112,Romance,522.0,2018-02-01,Riverhead Books,4.33,0,From Lukov with Love,0,0
207,1501165836,Christina Lauren,10.094479743833253,Romance,368.0,2017-12-05,Riverhead Books,3.87,0,Roomies,0,0
208,1975750381,Kristen Ashley,10.399585250897506,Romance,358.0,2017-12-19,Riverhead Books,4.14,1,The Hookup,0,0
209,0062804154,Lisa Kleypas,9.864278839310847,Romance,286.0,2018-02-27,Riverhead Books,4.07,1,Hello Stranger,0,0
210,1976333083,Penelope Douglas,9.769670404801788,Romance,406.0,2018-04-16,Riverhead Books,4.14,0,Birthday Girl,0,0
211,1942215703,Vi Keeland,9.880423612937577,Romance,300.0,2018-01-15,Riverhead Books,4.22,0,"Sex, Not Love",0,0
212,0062685546,Alyssa Cole,7.421177528595393,Romance,360.0,2018-02-27,Riverhead Books,3.81,1,A Princess in Theory,0,0
213,1986151441,Ella Frank,8.738735461363474,Romance,296.0,2018-03-04,Riverhead Books,4.37,1,Robbie,0,0
214,0062842641,Sarah MacLean,8.985320060649112,Romance,368.0,2018-06-19,Riverhead Books,4.0,1,Wicked and the Wallflower,0,0
215,1501165852,Christina Lauren,10.094479743833253,Romance,309.0,2018-09-04,Riverhead Books,4.1,0,Josh and Hazel's Guide to Not Dating,0,0
216,1635763517,Penny Reid,9.601165503344832,Romance,422.0,2018-07-30,Riverhead Books,4.14,1,Dr. Strange Beard,0,0
217,1501133438,K.A. Tucker,9.261413642160184,Romance,390.0,2018-08-07,Riverhead Books,4.44,1,The Simple Wild,0,0
218,1635763509,Penny Reid,9.601165503344832,Romance,506.0,2018-03-06,Riverhead Books,4.16,1,Marriage of Inconvenience,0,0
219,163576517X,Krista Ritchie,8.576593534697684,Romance,429.0,2018-04-16,Riverhead Books,4.34,1,Alphas Like Us,0,0
220,0765387522,V.E. Schwab,10.026633957357836,Fantasy,478.0,2018-09-25,Random House,4.26,1,Vengeful,1,0
223,042528591X,Pierce Brown,10.088430670035034,Science,601.0,2018-01-16,Random House,4.23,0,Iron Gold,1,0
224,0440000785,Christina Dalcher,6.706862336602747,Fiction,336.0,2018-08-21,Random House,3.58,0,Vox,0,0
225,0399180117,Sylvain Neuvel,8.286017468404763,Science,336.0,2018-05-01,Random House,3.64,1,Only Human,0,0
226,0316434817,Leni Zumas,6.049733455231958,Fiction,356.0,2018-01-16,Random House,3.69,0,Red Clocks,0,0
227,0765393131,Nnedi Okorafor,9.063926353520646,Science,208.0,2018-01-16,Random House,4.07,0,The Night Masquerade,0,0
228,0316332836,James S.A. Corey,9.391411146868485,Science,560.0,2017-12-05,Random House,4.36,0,Persepolis Rising,0,0
229,1250186927,Martha Wells,8.321907968230423,Science,158.0,2018-05-08,Random House,4.28,0,Artificial Condition,0,0
230,0062686631,Charles Soule,6.2285110035911835,Science,402.0,2018-04-03,Random House,3.7,0,The Oracle Year,0,0
231,076538891X,John Scalzi,9.720045368073471,Science,335.0,2018-04-17,Random House,4.01,0,Head On,0,0
232,0062699229,Becky Chambers,8.642238680390461,Science,358.0,2018-07-24,Random House,4.12,1,Record of a Spaceborn Few,0,0
233,052548048X,Timothy Zahn,8.449342524508063,Media,342.0,2018-07-24,Random House,3.89,1,Thrawn: Alliances,1,0
234,0374261598,Ling  Ma,6.342121418721152,Fiction,291.0,2018-08-14,Random House,3.85,0,Severance,0,0
235,0765378388,Mary Robinette Kowal,8.037866234709618,Science,431.0,2018-07-03,Random House,4.07,1,The Calculating Stars,0,0
236,0316449059,Tade Thompson,6.39024066706535,Science,432.0,2018-09-18,Random House,3.81,1,Rosewater,0,0
237,0765394073,Liu Cixin,8.631949428714426,Science,384.0,2018-08-14,Random House,3.82,0,Ball Lightning,0,0
238,1481497499,Catherynne M. Valente,8.665957964681349,Science,294.0,2018-04-10,Random House,3.5,1,Space Opera,0,0
239,0399167501,Tom Sweterlitsch,5.8289456176102075,Science,383.0,2018-02-06,Random House,3.95,0,The Gone World,0,0
240,1781086079,Yoon Ha Lee,7.036148493750536,Science,427.0,2018-06-12,Random House,4.16,1,Revenant Gun,0,0
241,0765388979,John Scalzi,9.720045368073471,Science,316.0,2018-10-16,Random House,4.23,1,The Consuming Fire,0,0
242,1982102314,Stephen King,13.420005681650363,Fiction,146.0,2018-10-30,Knopf Publishing Group,3.68,0,Elevation,1,0
245,1250170753,Zoje Stage,6.816735880594968,Horror,304.0,2018-07-17,Knopf Publishing Group,3.63,0,Baby Teeth,0,0
246,0735219346,Dacre Stoker,5.950642552587727,Horror,497.0,2018-10-02,Knopf Publishing Group,4.07,1,Dracul,0,0
247,1101970324,Anne Rice,9.93479240236454,Horror,416.0,2017-11-21,Knopf Publishing Group,3.77,1,The Passion of Cleopatra,0,0
248,1501171925,John Connolly,8.598588829620232,Mystery,483.0,2018-06-12,Knopf Publishing Group,4.17,1,The Woman in the Woods,0,0
249,0062679104,Paul Tremblay,8.262558973010657,Horror,272.0,2018-06-26,Knopf Publishing Group,3.3,0,The Cabin at the End of the World,0,0
250,0994630638,Darcy Coates,7.473637108496206,Horror,298.0,2017-12-11,Knopf Publishing Group,3.99,0,Craven Manor,0,0
251,0735212511,Alma Katsu,7.147559271189454,Horror,376.0,2018-03-06,Knopf Publishing Group,3.64,0,The Hunger,0,0
252,1683690125,Grady Hendrix,8.016647877057803,Horror,336.0,2018-09-18,Knopf Publishing Group,3.92,0,We Sold Our Souls,0,0
253,1587676796,Stephen King,13.420005681650363,Horror,332.0,2018-09-04,Knopf Publishing Group,3.5,0,Flight or Fright: 17 Turbulent Tales,0,0
254,1538761858,Michael Rutger,5.501258210544727,Horror,352.0,2018-06-19,Knopf Publishing Group,3.8,1,The Anomaly,0,0
