,title,author,rating,pages,publisher,genre,series,author_followers,publish_date,ISBN
26,41: A Portrait of My Father,George W. Bush,4.14,294,Crown,Biography,0,844.0,2014-11-11,9780553447781
27,42 Faith: The Rest of the Jackie Robinson Story,Ed Henry,4.16,368,Thomas Nelson,Biography,0,4.0,2017-04-04,9780718088804
28,50 Children: One Ordinary American Couple's Extraordinary Rescue Mission into the Heart of Nazi Germany,Steven Pressman,4.01,336,Harper,Nonfiction,0,8.0,2014-04-22,9780062237491
29,"50 Years, 50 Moments: The Most Unforgettable Plays in Super Bowl History",Jerry Rice,3.94,464,Dey Street Books(first published October 27th 2015),Sports,0,10.0,2015-11-03,9780062302601
30,The 5th Wave,Rick Yancey,4.06,457,G.P. Putnam's Sons Books for Young Readers,comments,1,9521.0,2013-05-07,9780399162411
31,7 Lessons from Heaven: How Dying Taught Me to Live a Joy-Filled Life,Mary C. Neal,4.09,288,Convergent Books,Nonfiction,0,42.0,2017-09-19,9780451495426
32,81 Days Below Zero: The Incredible Survival Story of a World War II Pilot in Alaska's Frozen Wilderness,Brian Murphy,3.68,238,Da Capo Press,Nonfiction,0,22.0,2015-06-02,9780306823282
33,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Fred Rogers,4.4,144,Quirk Books,Poetry,0,503.0,2019-03-19,9781683691136
34,A Better Man,Louise Penny,4.38,437,Minotaur Books,Mystery,1,10880.0,2019-08-27,9781250066213
35,A Brief History of Time,Stephen Hawking,4.17,212,Bantam Books(first published April 1st 1988),Add,0,8809.0,1998-09-01,9780553380163
36,A Buccaneer at Heart,Stephanie Laurens,3.8,480,Mira,Romance,1,4621.0,2016-04-26,9780778318781
37,A Burglar's Guide to the City,Geoff Manaugh,3.33,296,Fsg Originals(first published March 17th 2015),Nonfiction,0,30.0,2016-04-05,9780374117269
38,A Certain Justice,P.D. James,3.93,464,Ballantine Books(first published October 1st 1997),Mystery,1,2307.0,2003-11-04,9780345425324
39,"A Chance in the World: An Orphan Boy, a Mysterious Past, and How He Found a Place Called Home",Steve  Pemberton,4.22,261,Thomas Nelson,Nonfiction,0,6.0,2012-01-09,9781595554161
40,A Child of Books,Oliver Jeffers,4.13,40,Candlewick Press,Add,0,1616.0,2016-09-06,9780763690779
41,A Child's First Book of Trump,Michael Ian Black,4.24,32,Simon  Schuster Books for Young Readers,Humor,0,329.0,2016-07-05,9781481488006
42,A Clash of Kings,George R.R. Martin,4.41,1010,Bantam Books(first published November 16th 1998),Add,1,92705.0,,9780553579901
43,A Colony in a Nation,Chris Hayes,4.2,256,W. W. Norton  Company,Politics,0,89.0,2017-03-21,9780393254228
44,A Column of Fire,Ken Follett,4.21,916,Viking,Historical,1,40398.0,2017-09-12,9780525954972
45,A Course Called Scotland: Searching the Home of Golf for the Secret to Its Game,Tom Coyne,4.28,336,Simon  Schuster,Sports,0,12.0,2018-07-03,9781476754284
46,Creepy Pair of Underwear!,Aaron Reynolds,4.26,48,Simon  Schuster Books for Young Readers,Childrens,0,0.0,2017-08-15,9781442402980
47,A Curious Mind: The Secret to a Bigger Life,Brian Grazer,3.36,320,Simon  Schuster(first published April 7th 2014),Nonfiction,0,81.0,2015-04-07,9781476730752
48,A Curse So Dark and Lonely,Brigid Kemmerer,4.23,484,Bloomsbury YA,Fantasy,1,6032.0,2019-01-29,9781681195087
49,A Dance with Dragons,George R.R. Martin,4.33,1016,Bantam,comments,0,92705.0,2011-07-12,9780553801477
50,,,,,,,0,,,9780525535683
51,A Day in the Life of Marlon Bundo,Jill Twiss,4.72,34,Chronicle Books,Childrens,0,45.0,2018-03-18,9781452173801
52,A Delicate Touch,Stuart Woods,3.85,320,G.P. Putnam's Sons,Mystery,0,2097.0,2018-12-31,9780735219250
53,A Discovery of Witches,Deborah Harkness,4.0,579,Viking Penguin,Fantasy,0,21557.0,,9780670022410
54,A Dog's Journey,W. Bruce Cameron,4.41,336,Forge(first published September 19th 2012),Fiction,1,3102.0,2013-05-07,9780765330543
55,A Dog's Way Home,W. Bruce Cameron,4.19,336,Forge,Fiction,0,3100.0,2017-05-09,9780765374653
56,A Dream About Lightning Bugs: A Life of Music and Cheap Lessons,Ben Folds,4.17,319,Ballantine Books,Music,0,25.0,2019-07-30,9781984817273
57,A Feast for Crows,George R.R. Martin,4.13,1061,Bantam Books(first published October 17th 2005),Fantasy,1,92704.0,,9780553582024
58,A Few of the Girls: Stories,Maeve Binchy,3.68,319,Knopf(first published September 24th 2015),Short,0,3341.0,2016-03-01,9781101947418
59,A Field Guide to Redheads: An Illustrated Celebration,Elizabeth Graeber,3.45,160,Workman Publishing Company,Humor,0,1.0,2016-09-06,9780761185734
60,A Fighting Chance,Elizabeth Warren,4.15,365,Metropolitan Books(first published April 15th 2014),Nonfiction,0,583.0,2014-04-22,9781627790529
61,A Fine Romance,Candice Bergen,3.64,368,Simon  Schuster,Autobiography,0,28.0,2015-04-07,9780684808277
62,A Game of Thrones,George R.R. Martin,4.45,835,Bantam Spectra(first published August 6th 1996),Add,0,92705.0,,9780553573404
63,A Game of Thrones,George R.R. Martin,4.45,34,Random House Audio(first published August 6th 1996),Add,1,92705.0,2011-04-12,9780307913098
64,A Gentleman in Moscow,Amor Towles,4.36,462,Viking,Historical,0,7179.0,2016-09-06,9780670026197
65,A God in Ruins,Kate Atkinson,3.94,468,"Little, Brown and Company(first published May 1st 2015)",Fiction,1,7507.0,2015-05-05,9780316176538
66,A Great Reckoning,Louise Penny,4.42,389,Minotaur Books,Mystery,1,10881.0,2016-08-30,9781250022134
67,A Hero of France,Alan Furst,3.69,234,Random House,Historical,1,1083.0,2016-05-31,9780812996494
68,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.18,290,Flatiron Books,Nonfiction,0,404.0,2018-04-17,9781250192455
69,A History of the World in 12 Maps,Jerry Brotton,3.75,544,Penguin Books(first published September 6th 2012),History,0,52.0,2014-10-28,9780143126027
70,"""I Give You My Body . . ."": How I Write Sex Scenes",Diana Gabaldon,4.19,118,Dell(first published August 2016),Nonfiction,0,144140.0,2016-08-16,9781451645606
71,Most Blessed of the Patriarchs: Thomas Jefferson and the Empire of the Imagination,Annette Gordon-Reed,3.71,400,Liveright,History,0,107.0,2016-04-13,9781940846408
72,"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness",Gary Vaynerchuk,4.2,384,Harper Business,Business,0,1931.0,2016-03-08,9781543697438
73,#GIRLBOSS,Sophia Amoruso,3.69,256,Portfolio,Add,0,904.0,2014-05-06,9780345533487
74,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9780735225114
75,#NeverAgain: A New Generation Draws the Line,David  Hogg,4.18,165,Random House Trade,Nonfiction,0,23.0,2018-06-19,9781476793856
76,'Til Death Do Us Part,Amanda Quick,3.81,352,Penguin Publishing Group,Romance,0,3911.0,2016-04-19,9781250085948
77,"F*ck, That's Delicious: An Annotated Guide to Eating Well",Action Bronson,4.17,192,Harry N. Abrams,Food,0,13.0,2017-09-12,9780316187169
78,"1,000 Places to See Before You Die: Revised Second Edition",Patricia Schultz,3.85,1216,Workman Publishing Company(first published January 1st 2003),Travel,0,68.0,2015-07-01,9780385539258
79,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,J.J. Smith,4.12,167,Adiva Publishing(first published February 1st 2014),Health,0,60.0,2014-02-09,9780062469762
80,"100 Deadly Skills: The SEAL Operative's Guide to Eluding Pursuers, Evading Capture, and Surviving Any Dangerous Situation",Clint Emerson,3.74,272,Atria Books,Nonfiction,0,38.0,2015-10-13,9780547577319
81,"101 Dog Tricks: Step by Step Activities to Engage, Challenge, and Bond with Your Dog",Kyra Sundance,3.93,208,Quarry Books(first published January 1st 2007),Animals,0,14.0,2007-04-01,9780310353621
82,,,,,,,0,,,9780385530866
83,11/22/63,Stephen King,4.31,849,Scribner,Fiction,0,673112.0,2011-11-08,9781476738024
84,113 Minutes,James Patterson,3.76,139,BookShots,Fiction,0,281261.0,2016-09-06,9780374202392
85,12: The Inside Story of Tom Brady's Fight for Redemption,Casey Sherman,3.93,320,"Little, Brown and Company",Sports,0,49.0,2018-07-31,9780778318347
86,12 Beast Vol. 3,OKAYADO,4.02,176,Seven Seas(first published August 9th 2015),Sequential,0,33.0,2016-02-09,9780062316905
87,13 Hours,Mitchell Zuckoff,4.28,328,Twelve,Nonfiction,0,506.0,2014-09-09,9780345511010
88,14th Deadly Sin,James Patterson,4.04,349,"Little, Brown and Company",Mystery,1,281261.0,2015-05-04,9781460396438
89,15th Affair,James Patterson,4.09,351,"Little, Brown and Company",Mystery,1,281261.0,2016-05-02,9780062405579
90,16th Seduction,James Patterson,4.07,350,"Little, Brown and Company",Mystery,1,281261.0,2017-05-01,9781538761601
91,21 Lessons for the 21st Century,Yuval Noah Harari,4.19,372,Spiegel & Grau(first published August 30th 2018),Nonfiction,0,17044.0,2018-09-04,9780763660659
92,"26 Marathons: What I've Learned About Faith, Identity, Running, and Life From Each Marathon I've Run",Meb Keflezighi,4.23,256,Rodale Books,Sports,0,38.0,2019-03-19,9780399181399
93,30 Years of Wrestlemania,Brian Shields,4.33,224,DK Publishing (Dorling Kindersley),Sports,0,9.0,2014-09-15,9781595341938
94,32 Yolks: From My Mother's Table to Working the Line,Eric Ripert,3.9,247,Random House(first published April 12th 2016),Food,0,125.0,2016-05-17,9780778317876
95,4 3 2 1,Paul Auster,3.84,866,Henry Holt and Co.,Fiction,0,8519.0,2017-01-31,9780062668271
96,41: A Portrait of My Father,George W. Bush,4.14,294,Crown,Biography,0,844.0,2014-11-11,9781466849624
97,42 Faith: The Rest of the Jackie Robinson Story,Ed Henry,4.16,368,Thomas Nelson,Biography,0,4.0,2017-04-04,9780307959492
98,50 Children: One Ordinary American Couple's Extraordinary Rescue Mission into the Heart of Nazi Germany,Steven Pressman,4.01,336,Harper,Nonfiction,0,8.0,2014-04-22,9780060838652
99,"50 Years, 50 Moments: The Most Unforgettable Plays in Super Bowl History",Jerry Rice,3.94,464,Dey Street Books(first published October 27th 2015),Sports,0,10.0,2015-11-03,9780345530943
100,The 5th Wave,Rick Yancey,4.06,457,G.P. Putnam's Sons Books for Young Readers,comments,1,9521.0,2013-05-07,9781455535767
101,7 Lessons from Heaven: How Dying Taught Me to Live a Joy-Filled Life,Mary C. Neal,4.09,288,Convergent Books,Nonfiction,0,42.0,2017-09-19,9781495024429
102,81 Days Below Zero: The Incredible Survival Story of a World War II Pilot in Alaska's Frozen Wilderness,Brian Murphy,3.68,238,Da Capo Press,Nonfiction,0,22.0,2015-06-02,9780062356260
103,A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Fred Rogers,4.4,144,Quirk Books,Poetry,0,503.0,2019-03-19,9780763677534
104,A Better Man,Louise Penny,4.38,437,Minotaur Books,Mystery,1,10880.0,2019-08-27,9781524763558
105,A Brief History of Time,Stephen Hawking,4.17,212,Bantam Books(first published April 1st 1988),Add,0,8809.0,1998-09-01,9780778315513
106,A Buccaneer at Heart,Stephanie Laurens,3.8,480,Mira,Romance,1,4621.0,2016-04-26,9780756408091
107,A Burglar's Guide to the City,Geoff Manaugh,3.33,296,Fsg Originals(first published March 17th 2015),Nonfiction,0,30.0,2016-04-05,9780525576785
108,A Certain Justice,P.D. James,3.93,464,Ballantine Books(first published October 1st 1997),Mystery,1,2307.0,2003-11-04,9781543602760
109,"A Chance in the World: An Orphan Boy, a Mysterious Past, and How He Found a Place Called Home",Steve  Pemberton,4.22,261,Thomas Nelson,Nonfiction,0,6.0,2012-01-09,9780062379429
110,A Child of Books,Oliver Jeffers,4.13,40,Candlewick Press,Add,0,1616.0,2016-09-06,9781400201761
111,A Child's First Book of Trump,Michael Ian Black,4.24,32,Simon  Schuster Books for Young Readers,Humor,0,329.0,2016-07-05,9780061757099
112,A Clash of Kings,George R.R. Martin,4.41,1010,Bantam Books(first published November 16th 1998),Add,1,92705.0,,9781909979222
113,A Colony in a Nation,Chris Hayes,4.2,256,W. W. Norton  Company,Politics,0,89.0,2017-03-21,9781632360618
114,A Column of Fire,Ken Follett,4.21,916,Viking,Historical,1,40398.0,2017-09-12,9781632362223
115,A Course Called Scotland: Searching the Home of Golf for the Secret to Its Game,Tom Coyne,4.28,336,Simon  Schuster,Sports,0,12.0,2018-07-03,9780062497789
116,Creepy Pair of Underwear!,Aaron Reynolds,4.26,48,Simon  Schuster Books for Young Readers,Childrens,0,0.0,2017-08-15,9781488041778
117,A Curious Mind: The Secret to a Bigger Life,Brian Grazer,3.36,320,Simon  Schuster(first published April 7th 2014),Nonfiction,0,81.0,2015-04-07,9781524742843
118,A Curse So Dark and Lonely,Brigid Kemmerer,4.23,484,Bloomsbury YA,Fantasy,1,6032.0,2019-01-29,9780345544988
119,A Dance with Dragons,George R.R. Martin,4.33,1016,Bantam,comments,0,92705.0,2011-07-12,9780804136631
120,A Dangerous Man,Robert Crais,4.32,339,G.P. Putnam's Sons(first published July 18th 2019),Mystery,1,3141.0,2019-08-06,9781451629187
121,A Day in the Life of Marlon Bundo,Jill Twiss,4.72,34,Chronicle Books,Childrens,0,45.0,2018-03-18,9780553573428
122,A Delicate Touch,Stuart Woods,3.85,320,G.P. Putnam's Sons,Mystery,0,2097.0,2018-12-31,9780735221123
123,A Discovery of Witches,Deborah Harkness,4.0,579,Viking Penguin,Fantasy,0,21557.0,,9781250029461
124,A Dog's Journey,W. Bruce Cameron,4.41,336,Forge(first published September 19th 2012),Fiction,1,3102.0,2013-05-07,9780316523479
125,A Dog's Way Home,W. Bruce Cameron,4.19,336,Forge,Fiction,0,3100.0,2017-05-09,9780307758989
126,A Dream About Lightning Bugs: A Life of Music and Cheap Lessons,Ben Folds,4.17,319,Ballantine Books,Music,0,25.0,2019-07-30,9780307787712
127,A Feast for Crows,George R.R. Martin,4.13,1061,Bantam Books(first published October 17th 2005),Fantasy,1,92704.0,,9781616202750
128,A Few of the Girls: Stories,Maeve Binchy,3.68,319,Knopf(first published September 24th 2015),Short,0,3341.0,2016-03-01,9780062365637
129,A Field Guide to Redheads: An Illustrated Celebration,Elizabeth Graeber,3.45,160,Workman Publishing Company,Humor,0,1.0,2016-09-06,9781101906224
130,A Fighting Chance,Elizabeth Warren,4.15,365,Metropolitan Books(first published April 15th 2014),Nonfiction,0,583.0,2014-04-22,9780061650710
131,A Fine Romance,Candice Bergen,3.64,368,Simon  Schuster,Autobiography,0,28.0,2015-04-07,9781592702282
132,A Game of Thrones,George R.R. Martin,4.45,835,Bantam Spectra(first published August 6th 1996),Add,0,92705.0,,9780062866561
133,A Game of Thrones,George R.R. Martin,4.45,34,Random House Audio(first published August 6th 1996),Add,1,92705.0,2011-04-12,9780307279460
134,A Gentleman in Moscow,Amor Towles,4.36,462,Viking,Historical,0,7179.0,2016-09-06,9781538718469
135,A God in Ruins,Kate Atkinson,3.94,468,"Little, Brown and Company(first published May 1st 2015)",Fiction,1,7507.0,2015-05-05,9780062311450
136,A Great Reckoning,Louise Penny,4.42,389,Minotaur Books,Mystery,1,10881.0,2016-08-30,9781250095480
137,A Hero of France,Alan Furst,3.69,234,Random House,Historical,1,1083.0,2016-05-31,9780062895936
138,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.18,290,Flatiron Books,Nonfiction,0,404.0,2018-04-17,9780735225299
139,A History of the World in 12 Maps,Jerry Brotton,3.75,544,Penguin Books(first published September 6th 2012),History,0,52.0,2014-10-28,9780440335870
140,A House in the Sky,Amanda Lindhout,4.23,373,Scribner(first published June 25th 2013),Nonfiction,0,618.0,2013-09-10,9781609383404
141,A Killer Collection,J.B. Stanley,3.75,,Beyond the Page Publishing(first published January 3rd 2006),Mystery,0,87.0,2015-01-23,9781250065384
142,,,,,,,0,,,9780553907063
143,A Knight of the Seven Kingdoms,George R.R. Martin,4.21,355,Bantam(first published 2013),Fantasy,1,92703.0,2015-10-06,9780062316028
144,A Legacy of Spies,John le Carré,3.89,264,Viking,Fiction,1,5733.0,2017-09-05,9781948677172
145,A Life in Parts,Bryan Cranston,4.17,271,Scribner,Nonfiction,0,249.0,2016-10-11,9780062741813
146,A Life Well Played: My Stories,Arnold Palmer,4.09,272,St. Martin's Press,Sports,0,11.0,2016-10-04,9781101980705
147,A Little Hatred,Joe Abercrombie,4.52,480,Orbit,Fantasy,1,16510.0,2019-09-17,9781400067152
148,A Little Life,Hanya Yanagihara,4.3,720,Doubleday,Fiction,0,5777.0,2015-03-10,9780385354349
149,A Little Thing Called Life: From Elvis's Graceland to Bruce Jenner's Caitlyn & Songs in Between,Linda    Thompson,3.91,384,Dey Street Books(first published May 3rd 2016),Autobiography,0,8.0,2016-08-23,9780393064445
150,A Long Walk to Water: Based on a True Story,Linda Sue Park,4.25,128,Clarion Books(first published November 15th 2010),Historical,0,630.0,2011-10-04,9781101884096
151,A Love Letter Life: Pursue Creatively. Date Intentionally. Love Faithfully.,Jeremy Roloff,4.26,240,Zondervan,Nonfiction,0,23.0,2019-04-02,9781501109829
152,A Lowcountry Heart: Reflections on a Writing Life,Pat Conroy,4.35,320,Nan A. Talese,Nonfiction,0,2445.0,2016-10-25,9781601427557
153,A Man Called Ove,Fredrik Backman,4.36,368,Washington Square Press(first published August 27th 2012),comments,0,23296.0,2015-05-05,9780062448071
154,A Manual for Cleaning Women: Selected Stories,Lucia Berlin,4.18,406,"Farrar, Straus and Giroux(first published April 2015)",Short,0,428.0,2015-08-18,9781455530533
155,A Match for Marcus Cynster,Stephanie Laurens,3.95,448,Mira,Romance,1,4621.0,2015-05-26,9780061728976
156,A Memory of Violets,Hazel Gaynor,3.94,432,William Morrow Paperbacks,Historical,0,1796.0,2015-02-03,9780062220325
157,A Mighty Long Way: My Journey to Justice at Little Rock Central High School,Carlotta Walls LaNier,4.07,336,One World/Ballantine(first published January 1st 2009),Nonfiction,0,7.0,2010-07-27,9781476717128
158,A Million Little Things,Susan   Mallery,3.87,368,MIRA,Romance,0,9608.0,2017-02-28,9781419734229
159,A Mind of Your Own: The Truth About Depression and How Women Can Heal Their Bodies to Reclaim Their Lives,Kelly Brogan,3.85,352,Harper Wave(first published February 16th 2016),Health,0,56.0,2016-03-15,9781419721373
160,A Minute to Midnight,David Baldacci,4.33,418,Grand Central Publishing,Mystery,1,108249.0,2019-11-19,9781476798868
161,A Monster Calls,Patrick Ness,4.37,206,Candlewick Press(first published May 5th 2011),comments,0,15106.0,2013-03-12,9781621572671
162,A Mrs. Miracle Christmas,Debbie Macomber,4.08,272,Ballantine Books,Holiday,0,12811.0,2019-10-01,9780393652598
163,"A Muse and a Maze: Writing as Puzzle, Mystery, and Magic",Peter Turchi,4.17,248,Trinity University Press(first published May 13th 2014),Language,0,19.0,2014-11-11,9781250087102
164,A New Hope,Robyn Carr,4.11,336,Mira,Romance,1,5756.0,2015-06-30,9780062868206
165,A Parade of Elephants,Kevin Henkes,3.75,40,Greenwillow Books,Childrens,0,836.0,2018-09-25,9780996275460
166,A Paris Apartment,Michelle Gable,3.65,384,Thomas Dunne Books(first published 2014),Historical,0,960.0,2014-04-22,9781101874080
167,A Passion for Leadership: Lessons on Change and Reform from Fifty Years of Public Service,Robert M. Gates,4.03,256,Knopf,Leadership,0,59.0,2016-01-19,9781501178320
168,A People's History of the United States,Howard Zinn,4.08,729,Harper Perennial(first published 1980),Add,0,1886.0,2005-08-02,9780061952012
169,A Perfect Life,Danielle Steel,3.87,320,Delacorte Press(first published January 1st 2014),Romance,0,8653.0,2014-07-22,9781982111007
170,"A Perfect Score: The Art, Soul, and Business of a 21st-Century Winery",Kathryn Hall,2.89,224,Center Street,Alcohol,0,2.0,2016-09-13,9780060548957
171,A Perfect Union of Contrary Things,Maynard James Keenan,3.89,272,Backbeat Books,Biography,0,79.0,2016-10-01,9781250099655
172,A Piece of the World,Christina Baker Kline,3.86,309,William Morrow,Historical,0,3974.0,2017-02-21,9781420135978
173,A Piglet Named Mercy,Kate DiCamillo,3.85,32,Candlewick Press,Childrens,1,6166.0,2019-04-02,9781626726826
174,A Place for Us,Fatima Farheen Mirza,4.15,385,SJP for Hogarth,comments,0,1304.0,2018-06-12,9781501176517
175,A Real Prince: Yesterday's Hero\The Bachelor Prince,Debbie Macomber,3.67,432,Mira,Romance,0,12812.0,2015-02-24,9781250061560
176,A Red-Rose Chain,Seanan McGuire,4.3,358,DAW,Fantasy,1,10008.0,2015-09-01,9780525426592
177,"A Republic, If You Can Keep It",Neil Gorsuch,4.15,352,Crown Forum,Nonfiction,0,14.0,2019-09-10,9781101966969
178,,,,,,,0,,,9781250299253
179,A Scot in the Dark,Sarah MacLean,3.72,392,Avon,Romance,1,7986.0,2016-08-30,9781936608362
180,"A Serial Killer's Daughter: My Story of Faith, Love, and Overcoming",Kerri Rawson,3.48,336,Thomas Nelson,Crime,0,72.0,2019-01-29,9781101883914
181,The Bad Beginning,Lemony Snicket,3.94,176,HarperCollins(first published September 30th 1999),comments,1,19220.0,2009-03-17,9781420133844
182,A Short History of the World,Christopher Lascelles,3.84,264,Crux Publishing Ltd(first published December 20th 2011),History,0,35.0,2014-01-15,9781420133868
183,"A Silent Voice, Volume 6",Yoshitoki Oima,4.41,192,Kodansha Comics(first published October 17th 2014),Sequential,1,327.0,2016-04-19,9780547614823
184,"A Silent Voice, Volume 7",Yoshitoki Oima,4.36,192,Kodansha Comics(first published December 17th 2014),Sequential,1,327.0,2016-05-24,9780451488909
185,A Simple Favor,Darcey Bell,3.22,299,Harper Paperbacks(first published March 21st 2017),Mystery,0,437.0,2018-03-20,9781984878878
186,A Soldier's Return,RaeAnne Thayne,4.12,224,Harlequin Special Edition,Romance,0,1624.0,2019-01-15,9780802123145
187,A Song for You: My Life with Whitney Houston,Robyn Crawford,4.16,336,Dutton Books,Nonfiction,0,12.0,2019-11-12,9780802192363
188,A Spark of Light,Jodi Picoult,3.68,352,Ballantine Books,Fiction,0,51040.0,2018-10-02,9780307405500
189,A Spy Among Friends: Kim Philby and the Great Betrayal,Ben Macintyre,4.15,368,Crown Publishers(first published 2014),Nonfiction,0,987.0,2014-07-29,9781414380520
190,A Stolen Life,Jaycee Dugard,3.91,273,Simon  Schuster(first published July 11th 2011),Nonfiction,0,618.0,2011-07-12,9781455567300
191,A Storm of Swords,George R.R. Martin,4.54,1177,Bantam(first published August 8th 2000),Fantasy,1,92703.0,2003-03-04,9780062313331
192,A Stranger in the House,Shari Lapena,3.61,305,Pamela Dorman Books(first published July 27th 2017),Mystery,0,6082.0,2017-08-15,9781634508322
193,A Street Cat Named Bob: And How He Saved My Life,James Bowen,3.98,279,Thomas Dunne Books(first published March 1st 2012),comments,0,825.0,2013-07-30,9781328545862
194,A Tale of Magic...,Chris Colfer,4.38,496,"Little, Brown Books for Young Readers",Fantasy,0,7033.0,2019-10-01,9780425280836
195,A Taste for Death,P.D. James,4.02,480,Vintage(first published 1986),Mystery,1,2307.0,2010-12-08,9781455540419
196,A Thousand Acres,Jane Smiley,3.81,384,Anchor(first published 1991),Fiction,0,1132.0,2011-01-05,9780691164724
197,A Thousand Days in Venice: An Unexpected Romance,Marlena de Blasi,3.48,258,Algonquin Books(first published 2002),Travel,1,176.0,2013-06-11,9780399181283
198,Unti Ted Cruz,Ted Cruz,4.18,320,Broadside e-books,Politics,0,26.0,2015-06-30,9781594200090
199,A Torch Kept Lit: Great Lives of the Twentieth Century,William F. Buckley Jr.,4.07,240,Crown Forum,Biography,0,181.0,2016-10-04,9780316530415
200,"A Train in Winter: An Extraordinary Story of Women, Friendship, and Resistance in Occupied France",Caroline Moorehead,3.84,400,Harper Perennial(first published November 1st 2011),Nonfiction,1,114.0,2012-10-23,9780544435247
201,A Velocity of Being: Letters to A Young Reader,Maria Popova,4.6,272,Enchanted Lion Books,Nonfiction,0,565.0,2018-12-14,9781626921160
202,A Very Large Expanse of Sea,Tahereh Mafi,4.26,310,HarperTeen,Young,0,26331.0,2018-10-16,9780062844132
203,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,397,Anchor Books(first published 1997),Nonfiction,0,13298.0,2006-12-26,9781419733697
204,A Warning,Anonymous,3.81,259,Twelve,Nonfiction,0,2094.0,2019-11-19,9781481463331
205,A Wedding for Christmas,Lori Wilde,3.93,351,Avon,Romance,0,1681.0,2016-10-25,9780525579649
